default,default response
"""What would you have done if I'd said no? Would you have tried asking me again, with fireworks?""","""Oh no, of course not. If you'd said no, I would have saved the fireworks to try to ask someone else."""
"""Oh no, of course not. If you'd said no, I would have saved the fireworks to try to ask someone else.""","""Who was your Plan B?"""
"I nodded. ""Yeah, a couple times, just... never at the same time as the rest of you. What do I do? What do you do? What do we do?""","""We just stick together,"" Mary replied with a shrug."
"""We just stick together,"" Mary replied with a shrug.","""And Merlin help anyone who crosses us,"" Lily added."
"""And Merlin help anyone who crosses us,"" Lily added.","""Great,"" I muttered, sighing heavily as we all went about getting ready for the day."
"""Not feeling the best,"" I admitted. ","James frowned. ""Oh no! What's wrong?"" "
"James frowned. ""Oh no! What's wrong?"" ","""Tired,"" I replied through gritted teeth, overwhelmed already and not wanting to explain further. "
"""Tired,"" I replied through gritted teeth, overwhelmed already and not wanting to explain further. ","Sirius tightened his grip on my arm. ""That's alright, I reckon you could nap in — wait, no, you're not in Divination with us. Maybe you could nap in Arithmancy! Or you could just skip class today, you really don't look well, you know."""
"Sirius tightened his grip on my arm. ""That's alright, I reckon you could nap in — wait, no, you're not in Divination with us. Maybe you could nap in Arithmancy! Or you could just skip class today, you really don't look well, you know.""","I shook my head as I fought frustrated tears. ""I can't afford to miss a second of class, Arithmancy especially, it's so hard, I — I can't, and I have — oh fuck, I have an Arithmancy exam on Thursday — """
"""I still can't afford to miss class,"" I replied in a small voice.","Sirius nudged me playfully. ""You sound like Moony. You always tell him to skip class when he's not feeling well, so why don't you take your own advice?"""
"Sirius nudged me playfully. ""You sound like Moony. You always tell him to skip class when he's not feeling well, so why don't you take your own advice?""","My stomach seemed to do a somersault, but I forced myself to take a deep breath. The deep breath did nothing to help, though, in fact upsetting my stomach more, so I yanked my arms free of theirs. ""I need a second, sorry, I'll see you in Charms."""
"""Are you alright?"" Remus asked.","I nodded. ""Yeah. That was just crazy."""
"""We bet that you'd actually be a dog,"" Peter replied sheepishly. ","I snorted. ""Oh? That's ironic, considering Sirius is apparently the dog of the group. What breeds did you guess?"""
"""Thanks,"" I whispered, mind racing.","Carter grinned. ""You seem bothered by how unbothered I am."""
"Carter grinned. ""You seem bothered by how unbothered I am.""","""Confused, yeah,"" I admitted."
"Carter snorted. ""Peanut?""","""Yeah. James mentioned that my head was peanut-shaped, and Sirius thought calling me 'Peanut' would be cute and funny. I, in a panic, pointed out that 'Peanut' could be easily misheard as 'Penis' — """
"""Yeah. James mentioned that my head was peanut-shaped, and Sirius thought calling me 'Peanut' would be cute and funny. I, in a panic, pointed out that 'Peanut' could be easily misheard as 'Penis' — ""","""So you just blurted out that Muggles think horseshoes are lucky as a distraction and they declared that your new name was Lucky?"" Carter asked with another amused snort."
"""So you just blurted out that Muggles think horseshoes are lucky as a distraction and they declared that your new name was Lucky?"" Carter asked with another amused snort.","""Yeah. They've started stealing my shoes from my dormitory on the eves of exams for good luck."""
"""Yeah. They've started stealing my shoes from my dormitory on the eves of exams for good luck.""","""And? Does it work?"""
"""And? Does it work?""","""Yeah, because they only get the chance to steal my shoes after I've helped with their studying,"" I retorted, grinning."
"""Yeah, because they only get the chance to steal my shoes after I've helped with their studying,"" I retorted, grinning.","Carter tossed his head back and laughed at that. ""That makes sense."""
"""You really should take the day off, you know,"" Sirius said as he dropped into the seat next to me.","I shook my head. ""I'm good. How was Divination?"""
"I shook my head. ""I'm good. How was Divination?""","""Give me your hand,"" Sirius replied."
"""Give me your hand,"" Sirius replied.","""You know I think Divination is — """
"""You know I think Divination is — ""","Sirius reached for my hand and laid it flat, then clicked his tongue at me, lazily tracing his finger in circles on my palm. ""It's exactly as I feared. Your fate is to skip Ancient Runes and take a nap with me."""
"""Hear, hear,"" Remus said from the row behind us.","""Oi, is everyone listening to this?"" I asked with a laugh, turning to face him."
"""Oi, is everyone listening to this?"" I asked with a laugh, turning to face him.","Peter, who was sitting beside him, nodded. ""Well, yes, we were eavesdropping because we were concerned by how lifeless you seemed when we walked in, but you seem rather animated now."""
"Peter, who was sitting beside him, nodded. ""Well, yes, we were eavesdropping because we were concerned by how lifeless you seemed when we walked in, but you seem rather animated now.""","""Sirius has that effect, I guess,"" I said."
"""I'm so glad he's going with someone else. I thought he'd go with you, but then Sirius asked you first, and I was so worried he'd ask me.""","I blinked. ""Why were you worried about that?"""
"I blinked. ""Why were you worried about that?""","""Why wouldn't I be? He's insufferable, and arrogant, and a bullying prick, and — """
"""Why wouldn't I be? He's insufferable, and arrogant, and a bullying prick, and — ""","I scoffed. ""How dare you say all of that about James when you're still friends with Severus Snape of all people?"""
"I scoffed. ""How dare you say all of that about James when you're still friends with Severus Snape of all people?""","""I don't lecture you about your Slytherin friends, so you have no right to lecture me about mine,"" Lily snapped."
"""I've heard rumors Carter's a Legilimens,"" Lily replied.","""Why are you saying that as if it's a 'gotcha' when in fact Carter being a Legilimens would be even more of a reason for me to trust him about Snape?"""
"""Why are you saying that as if it's a 'gotcha' when in fact Carter being a Legilimens would be even more of a reason for me to trust him about Snape?""","""It'd be an invasion of privacy! Sev's thoughts are his business, it's his actions that are important! He has been nothing but kind to me — """
"""It'd be an invasion of privacy! Sev's thoughts are his business, it's his actions that are important! He has been nothing but kind to me — ""","""And that's baffling, considering how he feels about Muggle-borns in general — """
"""And that's baffling, considering how he feels about Muggle-borns in general — ""","Lily pointed an accusatory finger at me. ""Ha! So you're not denying it! Carter is a Legilimens, and he's read Sev's mind without his permission!"""
"""No offense, Cass, but I don't exactly trust the opinion of someone who's best friends with the son of You-Know-Who and James Potter. Carter's dangerous, and James is a bully. James is the reason Severus needs to protect himself, and apparently he needs to start protecting himself against Carter too. James Potter is vindictive and cruel, and his ego is so overinflated it's a wonder he doesn't float away when he tries to strut around the castle like he owns the place. James Potter makes Sev's life a living hell. Sirius Black too for that matter. I hate them both. Admittedly I don't know Carter as well, he keeps to himself, but I know who his dad is, which is scary, and apparently he's a secret Legilimens too, which is even scarier — ""","""You don't know them the way I do, any of them. Carter, James, Sirius, they've all saved my life at one point or another. What has Severus done for you that's so amazing, huh?"""
